0% 9007
1% 6390
2% 6132
3% 5973
4% 5801
5% 5582
6% 5355
7% 5140
8% 5069
9% 5009
10% 4943
11% 4802
12% 4734
13% 4677
14% 4601
15% 4559
16% 4439
17% 4377
18% 4317
19% 4260
20% 4231
21% 4142
22% 4090
23% 4064
24% 4000
25% 3968
26% 3918
27% 3875
28% 3833
29% 3796
30% 3765
31% 3704
32% 3646
33% 3619
34% 3597
35% 3568
36% 3526
37% 3489
38% 3455
39% 3426
40% 3382
41% 3346
42% 3294
43% 3252
44% 3212
45% 3171
46% 3136
47% 3110
48% 3085
49% 3060
50% 3016
51% 2970
52% 2944
53% 2923
54% 2890
55% 2863
56% 2828
57% 2792
58% 2746
59% 2705
60% 2676
61% 2621
62% 2593
63% 2546
64% 2519
65% 2472
66% 2445
67% 2385
68% 2341
69% 2292
70% 2256
71% 2196
72% 2138
73% 2099
74% 2077
75% 2007
76% 1974
77% 1949
78% 1931
79% 1899
80% 1859
81% 1807
82% 1784
83% 1759
84% 1719
85% 1672
86% 1619
87% 1591
88% 1531
89% 1470
90% 1424
91% 1396
92% 1326
93% 1273
94% 1194
95% 1151
96% 1085
97% 942
98% 875
99% 711
